Response_Time,Availability,Throughput,Reliability,Latency,Service_Name,node_id,Availability_norm,Throughput_norm,Reliability_norm,Response_Time_norm,Latency_norm,qos_score,display_id,list_id,list_rank
308.0,93.0,12.9,78.0,1.0,logon,341,0.9247311827956989,0.29767441860465116,0.8035714285714286,0.9452820397886392,0.9998188449554358,0.8530301327026382,Node_8,0,1
235.25,94.0,8.1,73.0,93.5,WSDLInteropTestDocLitService,2096,0.9354838709677419,0.18604651162790697,0.7142857142857143,0.9599710863029437,0.9774763894591918,0.823664698728501,Node_4,0,2
541.0,91.0,20.3,73.0,360.0,DerniersDecesEPF,1436,0.9032258064516129,0.4697674418604651,0.7142857142857143,0.8982367086844066,0.913105963624067,0.818048662126589,Node_3,0,3
214.4,89.0,14.6,73.0,6.6,msbarService,483,0.8817204301075269,0.3372093023255814,0.7142857142857143,0.9641809367472496,0.9984662206226902,0.808546355201169,Node_9,0,4
277.0,86.0,4.4,73.0,44.6,frestdistService,2036,0.8494623655913979,0.10000000000000002,0.7142857142857143,0.9515412898497174,0.9892876983647738,0.7751401905953198,Node_6,0,5
730.2,86.0,3.4,73.0,47.8,InsertRelation,619,0.8494623655913979,0.07674418604651162,0.7142857142857143,0.8600350921826005,0.9885147701746334,0.767434010109943,Node_7,0,6
585.5,97.0,1.0,60.0,19.5,ResidentialLookup,177,0.967741935483871,0.020930232558139535,0.48214285714285715,0.889251656177375,0.9953503538561871,0.7556128254656592,Node_10,0,7
316.5,72.0,15.9,80.0,5.5,Slash/SOAP/Test,2507,0.6989247311827957,0.3674418604651163,0.8392857142857143,0.9435657938041501,0.998731914688051,0.7553077091265652,Node_5,0,8
397.0,56.0,5.5,67.0,50.0,IAddress3service,984,0.5268817204301075,0.12558139534883722,0.6071428571428571,0.9273119347745762,0.987983382043912,0.5817101940594716,Node_1,0,9
220.75,56.0,6.3,58.0,57.25,WhiteMesaSoap12AddTestSvc,2193,0.5268817204301075,0.14418604651162792,0.44642857142857145,0.9628988000411899,0.9862322166131253,0.5369936797567936,Node_2,0,10
56.17,97.0,11.3,83.0,7.17,AWSAlexa,2504,0.967741935483871,0.2604651162790698,0.8928571428571429,0.9961293605267462,0.9983285427888215,0.9021314760060407,Node_9,1,1
