node_id,Response_Time,Availability,Throughput,Reliability,Latency
1,226.77,86.44,33.899,83.21,92.23
2,248.13,100.00,37.828,96.36,108.84
3,184.96,74.58,33.243,73.61,77.39
4,252.64,77.97,27.829,75.73,105.15
5,196.85,49.15,18.067,50.13,85.51
6,142.16,33.90,13.839,32.84,63.76
7,195.10,66.10,28.946,65.52,81.18
8,230.27,100.00,39.242,98.51,99.40
9,213.04,100.00,43.009,96.57,82.77
10,247.26,100.00,32.221,98.80,94.37
11,283.37,66.10,30.746,64.67,108.26
12,256.13,79.66,31.378,78.74,107.32
13,186.86,100.00,38.287,96.96,80.03
14,212.59,40.68,17.056,39.20,94.46
15,223.03,98.31,44.640,94.88,92.83
16,209.18,83.05,30.170,80.07,90.08
17,263.04,96.61,39.670,93.59,109.07
18,229.44,69.49,29.297,69.54,101.87
19,262.75,71.19,25.111,69.33,110.71
20,226.30,100.00,35.853,97.55,93.22
21,152.85,76.27,24.629,75.90,58.44
22,259.10,81.36,33.244,80.07,102.66
23,198.59,66.10,26.638,66.20,89.80
24,247.64,55.93,21.002,56.13,103.55
25,267.94,35.59,13.606,34.37,108.61
26,278.31,64.41,29.897,63.21,111.84
27,225.78,69.49,30.809,68.40,92.07
28,224.79,84.75,32.069,83.77,92.27
29,196.93,91.53,31.663,89.55,78.52
30,231.57,69.49,26.799,69.32,92.37
31,258.07,96.61,39.940,95.47,111.27
32,213.47,71.19,29.155,68.71,84.82
33,281.88,52.54,26.277,52.10,121.21
34,240.26,98.31,33.296,95.09,104.47
35,191.12,81.36,34.472,80.30,84.41
36,235.33,61.02,24.392,60.69,99.12
37,247.90,62.71,26.106,61.86,94.31
38,152.56,47.46,16.974,47.22,59.56
39,122.39,35.59,16.578,35.84,57.04
40,215.73,79.66,31.250,78.25,92.44
41,206.22,50.85,17.679,49.93,79.61
42,244.64,71.19,23.645,68.99,107.32
43,225.15,89.83,38.055,87.81,91.93
44,228.38,100.00,47.279,98.94,92.61
45,277.34,100.00,36.933,96.64,106.46
46,241.65,100.00,40.050,98.71,99.87
47,232.92,96.61,40.579,94.92,92.39
48,255.34,83.05,38.611,81.79,109.10
49,231.53,37.29,14.947,36.02,100.02
50,273.33,89.83,30.807,88.58,109.61
51,279.35,77.97,26.292,75.79,110.23
52,218.03,59.32,22.794,58.59,86.45
53,147.71,54.24,17.272,55.05,58.27
54,181.56,50.85,17.262,50.88,76.84
55,258.80,98.31,38.601,94.65,106.64
56,244.53,100.00,41.751,96.95,105.75
57,251.13,96.61,36.623,95.49,106.21
58,227.92,79.66,30.258,76.71,100.93
59,201.32,49.15,18.473,48.31,87.86
60,256.66,88.14,30.992,85.04,108.59
61,282.68,81.36,31.465,78.51,117.45
62,209.86,67.80,24.984,67.39,87.99
63,235.75,72.88,29.814,71.00,96.73
64,215.48,77.97,26.148,77.03,88.74
65,276.25,100.00,35.583,97.81,106.18
66,230.96,81.36,36.196,80.70,96.83
67,199.28,72.88,26.954,70.55,79.02
68,248.80,93.22,38.074,91.33,101.58
69,227.16,66.10,26.891,65.26,86.63
70,263.49,61.02,21.832,59.71,107.53
71,213.53,100.00,35.494,98.25,81.70
72,260.73,96.61,36.643,93.77,113.43
73,197.85,33.90,14.273,34.08,80.06
74,205.78,40.68,16.836,40.16,80.63
75,241.99,88.14,38.757,85.84,93.08
76,194.18,76.27,29.070,74.34,88.27
77,232.85,100.00,50.488,98.17,96.74
78,191.69,71.19,28.210,70.48,79.26
79,222.79,84.75,30.221,83.03,93.55
80,238.69,69.49,26.677,69.65,104.56
81,288.27,98.31,38.168,97.02,120.91
82,196.42,83.05,27.196,81.91,79.28
83,150.26,61.02,24.815,61.02,60.61
84,212.96,76.27,33.044,74.88,94.47
85,252.38,86.44,31.151,83.16,96.32
